2023-08-05 12:00:08,155 - all_stations - INFO - Training GWN models through walk-forward validation on a forecasting horizon of: 24
2023-08-05 12:06:49,660 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 161 - Actual: 0.4592145085334778, Predicted: 0.17612797021865845
2023-08-05 12:06:51,834 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 162 - Actual: 0.4833836853504181, Predicted: 0.22375020384788513
2023-08-05 12:06:54,022 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 163 - Actual: 0.4833836853504181, Predicted: 0.11289320141077042
2023-08-05 12:06:56,223 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 164 - Actual: 0.4743202328681946, Predicted: 0.0744217038154602
2023-08-05 12:06:58,408 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 165 - Actual: 0.4531722068786621, Predicted: 0.22334060072898865
2023-08-05 12:07:00,570 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 166 - Actual: 0.43202418088912964, Predicted: 0.12489373981952667
2023-08-05 12:07:02,744 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 167 - Actual: 0.3987915515899658, Predicted: 0.11012516915798187
2023-08-05 12:07:04,972 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 168 - Actual: 0.5891238451004028, Predicted: 0.13521991670131683
2023-08-05 12:07:07,191 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 169 - Actual: 0.5981873273849487, Predicted: 0.12327275425195694
2023-08-05 12:07:09,445 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 170 - Actual: 0.5679758191108704, Predicted: 0.10437920689582825
2023-08-05 12:07:11,701 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 171 - Actual: 0.5105740427970886, Predicted: 0.1956205815076828
2023-08-05 12:07:13,901 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 172 - Actual: 0.5105740427970886, Predicted: 0.11242002993822098
2023-08-05 12:07:16,080 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 173 - Actual: 0.5015105605125427, Predicted: 0.09492497146129608
2023-08-05 12:07:18,290 - all_stations - INFO - Date 2010-01-01 03:00:00 Index 174 - Actual: 0.48036253452301025, Predicted: 0.17758938670158386
